员工ID,年龄,性别,最高学历,行龄,司龄,近2年绩效平均分,近2年内绩效为B-及以下的次数,近2年内获得A+的次数,近2年内绩效为A及以上的次数,近1年病假天数,近1年事假天数,近2年牵头项目个数,近2年日均工时,组长/骨干标识,重点项目成员标识,敏捷角色（PO/SM）,内部项目支持（担任PM）,外部项目支持（担任PM）,产品经理-业务分析,产品经理-产品设计,近2年行外发表的论文、杂志的数量,近2年获得的部门级以上奖励、荣誉数量,近2年获得的部门级以上的最高荣誉名称,年度部门内分享/培训次数（作为培训者）,年度部门外培训次数（作为培训者）,年度部门外培训次数（作为被培训者）,年度部门内分享/培训次数（作为被培训者）,近2年带教的实习生数量,近2年带教的校招新行员的数量,近2年带教的实习生转正数量,近2年带教的校招新行员转正成绩为A的数量,近3个月查看知识库会议纪要次数,当年资质证书获取情况,数据分析师-数据分析工具运用能力,数据分析师-算法模型开发能力,数据分析师-营销运营能力,数据研发师-SQL开发,数据研发师-数据模型设计,数据研发师-业务理解,应用研发-技术架构设计,应用研发-应用开发能力,AI算法工程师-数学与建模理论基础,AI算法工程师-编程与工程实现,学习能力,创新思维,任务拆解能力,领导力,团队合作,综合评价（A+、A、A-、B、B-）-直属上级,综合评价（A+、A、A-、B、B-）-同级同事,综合评价（A+、A、A-、B、B-）-下级（如有）,特长,兴趣爱好
216,34,男,本科,2.7,2.2,3.88,2,0,1,1,5,3,6.6,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,26,否,4,2,1,5,2,1,5,4,2,5,2,5,3,5,4,A+,A,A,无,无
217,27,男,硕士,5.6,1.6,3.79,1,0,3,3,0,3,7.6,0,1,0,0,0,0,0,0,0,,1,0,0,2,0,2,0,1,23,否,2,3,4,4,2,1,4,2,5,3,2,4,1,2,4,B,B,B+,演讲,摄影
218,29,男,本科,3.9,4.7,4.27,0,0,3,2,2,3,8.5,0,0,0,0,0,0,0,1,0,,1,0,3,2,1,0,0,0,15,是,2,4,5,2,2,3,4,1,5,5,1,2,2,3,5,A-,A-,B,无,无
219,28,男,本科,2.5,2.9,3.97,0,0,0,3,0,2,8.1,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,13,是,1,1,4,3,2,1,5,4,1,3,2,2,2,4,2,A+,B,A-,无,音乐
220,31,男,博士,5,2.3,3.84,1,0,2,3,1,0,8.8,1,0,0,0,0,0,0,1,0,,3,0,1,0,0,1,0,0,22,否,3,2,1,4,5,3,5,1,3,3,3,4,3,1,3,B,A-,B+,无,摄影
221,42,男,本科,1.8,0.8,2.39,1,2,0,2,1,0,7.4,1,0,1,0,0,0,1,0,0,,1,0,1,2,3,0,0,0,22,否,2,1,4,4,1,5,5,1,3,5,3,5,3,3,2,A-,A,,数据分析,无
222,21,女,硕士,2.6,2.2,4.1,0,1,4,1,0,3,6.3,0,0,1,0,0,0,0,0,0,,0,0,1,3,3,1,0,1,21,是,1,4,4,1,2,2,2,4,4,1,4,1,2,3,5,A+,A-,B,写作,运动
223,34,男,本科,3.6,3.4,3.54,0,0,0,1,1,1,9.1,0,1,0,1,0,0,1,0,0,,0,0,3,2,2,0,1,1,29,否,4,5,5,3,5,2,3,4,4,2,3,5,2,5,5,A,A+,A-,无,无
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（内容由AI生成，仅供参考）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
